Species_updated_name_fishbase,Species_checklist_name,Species_used_name,Author,Class,Order,Family,Red_Sea,Mediterranean,Red_sea_endemic,Med_israeli_coast,Gulf_of_aqaba ,Lessepsian,First_israel_med_record,Pop_status_in_isreal,Lessepsian_med_distribution,Anti_Lessepsian,Distinct_Med_Red_distribution,Med_Red_distribution_explanation,Distinct_sp_Med_first_record_year,Comments,Home_range,Activity,Schooling,Water_level,Diet,Venomous,Poisonous
Bathysolea profundicola,Bathysolea profundicola,NA,"(Vaillant, 1888)",Actinopteri,Carangiformes,Soleidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bathytoshia centroura,Bathytoshia centroura,NA,"(Mitchill, 1815)",Elasmobranchii,Myliobatiformes,Dasyatidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Bellottia apoda,Bellottia apoda,NA,"Giglioli, 1883",Actinopteri,Ophidiiformes,Bythitidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Belone belone,Belone belone,Belone belone,"(Linnaeus, 1760)",Actinopteri,Beloniformes,Belonidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Belone svetovidovi,Belone svetovidovi,NA,"Collette & Parin, 1970",Actinopteri,Beloniformes,Belonidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bembrops caudimacula,Bembrops caudimacula,Bembrops caudimacula,Steindachner 1876,Actinopteri,Perciformes/Bembropoidei,Percophidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benthocometes robustus,Benthocometes robustus,NA,"(Goode & Bean, 1886)",Actinopteri,Ophidiiformes,Ophidiidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benthosema fibulatum,Benthosema fibulatum,NA,Gilbert & Cramer 1897,Actinopteri,Myctophiformes,Myctophidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benthosema glaciale,Benthosema glaciale,NA,"(Reinhardt, 1837)",Actinopteri,Myctophiformes,Myctophidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Benthosema pterotum,Benthosema pterotum,NA,Alcock 1890,Actinopteri,Myctophiformes,Myctophidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Beryx decadactylus,Beryx decadactylus,NA,"Cuvier, 1829",Actinopteri,Beryciformes,Berycidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Beryx splendens,Beryx splendens,NA,"Lowe, 1834",Actinopteri,Beryciformes,Berycidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Blenniella periophthalmus,Blenniella periophthalmus,Blenniella periophthalmus,Valenciennes 1836,Actinopteri,Blenniiformes,Blenniidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Blennius ocellaris,Blennius ocellaris,NA,"Linnaeus, 1758",Actinopteri,Blenniiformes,Blenniidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,IM,0,0
Bodianus anthioides,Bodianus anthioides,Bodianus anthioides,Bennett 1832,Actinopteri,Eupercaria/misc,Labridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IM,0,0
Bodianus axillaris,Bodianus axillaris,Bodianus axillaris,Bennett 1832,Actinopteri,Eupercaria/misc,Labridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IM,0,0
Bodianus bimaculatus,Bodianus bimaculatus,NA,Allen 1973,Actinopteri,Eupercaria/misc,Labridae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IM,0,0
Bodianus diana,Bodianus diana,Bodianus diana,Lacepčde 1801,Actinopteri,Eupercaria/misc,Labridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IM,0,0
Bodianus opercularis,Bodianus opercularis,NA,Guichenot 1847,Actinopteri,Eupercaria/misc,Labridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IM,0,0
Bodianus rubrisos,Bodianus rubrisos,NA,Fowler 1934,Actinopteri,Eupercaria/misc,Labridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IM,0,0
Bolbometopon muricatum,Bolbometopon muricatum,NA,Valenciennes 1840,Actinopteri,Eupercaria/misc,Scaridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,MedG,Bottom,IS,0,0
Boops boops,Boops boops,Boops boops,"(Linnaeus, 1758)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,High,PK,0,0
Borostomias antarcticus,Borostomias antarcticus,NA,"(Lönnberg, 1905)",Actinopteri,Stomiiformes,Stomiidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bothus pantherinus,Bothus pantherinus,Bothus pantherinus,Rüppell 1830,Actinopteri,Pleuronectiformes,Bothidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Both,Sol,Bottom,FC,0,0
Bothus podas,Bothus podas,NA,"(Delaroche, 1809)",Actinopteri,Carangiformes,Bothidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Bothus tricirrhitus,Bothus tricirrhitus,NA,Kotthaus 1977,Actinopteri,Pleuronectiformes,Bothidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brachaluteres fahaqa,Brachaluteres fahaqa,NA,Clark & Gohar 1953,Actinopteri,Tetraodontiformes,Monacanthidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IS,0,0
Brachypterois serrulifer,Brachypterois serrulifer,NA,"Fowler, 1938",Actinopteri,Perciformes/Scorpaenoidei,Scorpaenidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brachysomophis cirrocheilos,Brachysomophis cirrocheilos,NA,Bleeker 1857,Actinopteri,Anguilliformes,Ophichthidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,FC,0,0
Brama brama,Brama brama,NA,"(Bonnaterre, 1788)",Actinopteri,Scombriformes,Bramidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Branchiostegus sawakinensis,Branchiostegus sawakinensis,NA,Amirthalingam 1969,Actinopteri,Eupercaria/misc,Malacanthidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Bregmaceros arabicus,Bregmaceros arabicus,NA,D'Ancona & Cavinato 1965,Actinopteri,Gadiformes,Bregmacerotidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bregmaceros nectabanus,Bregmaceros nectabanus,NA,"Whitley, 1941",Actinopteri,Gadiformes,Bregmacerotidae,1,1,0,1,0,1,2004,Local,"Greece, Syria, Turkey",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brevitrygon walga,Brevitrygon walga,NA,Müller & Henle 1841,Elasmobranchii,Myliobatiformes,Dasyatidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brosmophyciops pautzkei,Brosmophyciops pautzkei,NA,Schultz 1960,Actinopteri,Ophidiiformes,Bythitidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,IM,0,0
