Species_updated_name_fishbase,Species_checklist_name,Species_used_name,Author,Class,Order,Family,Red_Sea,Mediterranean,Red_sea_endemic,Med_israeli_coast,Gulf_of_aqaba ,Lessepsian,First_israel_med_record,Pop_status_in_isreal,Lessepsian_med_distribution,Anti_Lessepsian,Distinct_Med_Red_distribution,Med_Red_distribution_explanation,Distinct_sp_Med_first_record_year,Comments,Home_range,Activity,Schooling,Water_level,Diet,Venomous,Poisonous
Dascyllus abudafur,Dascyllus abudafur,Dascyllus aruanus,Forsskål in Niebuhr 1775,Actinopteri,Ovalentaria/misc,Pomacentridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dascyllus marginatus,Dascyllus marginatus,Dascyllus marginatus,Rüppell 1829,Actinopteri,Ovalentaria/misc,Pomacentridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,MedG,Bottom,PK,0,0
Dascyllus trimaculatus,Dascyllus trimaculatus,Dascyllus trimaculatus,Rüppell 1829,Actinopteri,Ovalentaria/misc,Pomacentridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,SmallG,Bottom,PK,0,0
Dasyatis marmorata,Dasyatis marmorata,NA,"Steindachner, 1892",Elasmobranchii,Myliobatiformes,Dasyatidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,Sol,Bottom,IM,0,0
Dasyatis pastinaca,Dasyatis pastinaca,Dasyatis pastinaca,"(Linnaeus, 1758)",Elasmobranchii,Myliobatiformes,Dasyatidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Dasyatis tortonesei,Dasyatis tortonesei,NA,Capapé 1975,Elasmobranchii,Myliobatiformes,Dasyatidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,Sol,Bottom,IM,0,0
Decapterus kurroides,Decapterus kurroides,Decapterus kurroides,Bleeker 1855,Actinopteri,Carangiformes,Carangidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Decapterus macarellus,Decapterus macarellus,Decapterus macarellus,Cuvier 1833,Actinopteri,Carangiformes,Carangidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Decapterus macrosoma,Decapterus macrosoma,Decapterus macrosoma,Bleeker 1851,Actinopteri,Carangiformes,Carangidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Night,MedG,High,PK,0,0
Decapterus russelli,Decapterus russelli,Decapterus russelli,"(Rüppell, 1830)",Actinopteri,Carangiformes,Carangidae,1,1,0,1,1,1,2005,Rare,"Lebanon, Turkey",0,0,NA,NA,NA,VMob,Both,LargeG,High,PK,0,0
Deltentosteus collonianus,Deltentosteus collonianus,NA,"(Risso, 1820)",Actinopteri,Gobiiformes,Gobiidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Deltentosteus quadrimaculatus,Deltentosteus quadrimaculatus,NA,"(Valenciennes, 1837)",Actinopteri,Gobiiformes,Gobiidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dendrochirus hemprichi,Dendrochirus hemprichi,Dendrochirus brachypterus,"Matsunuma, Motomura & Bogorodsky 2017",Actinopteri,Perciformes/Scorpaenoidei,Scorpaenidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dentex dentex,Dentex dentex,Dentex dentex,"(Linnaeus, 1758)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,FC,0,0
Dentex gibbosus,Dentex gibbosus,NA,"(Rafinesque, 1810)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Dentex macrophthalmus,Dentex macrophthalmus,NA,"(Bloch, 1791)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Dentex maroccanus,Dentex maroccanus,NA,"Valenciennes, 1830",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Dermatolepis striolata,Dermatolepis striolata,NA,Playfair 1867,Actinopteri,Perciformes/Serranoidei,Serranidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Both,Sol,Bottom,FC,0,0
Diagramma punctatum,Diagramma punctatum,NA,Cuvier 1830,Actinopteri,Eupercaria/misc,Haemulidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diaphus coeruleus,Diaphus coeruleus,Diaphus coeruleus,Klunzinger 1871,Actinopteri,Myctophiformes,Myctophidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diaphus holti,Diaphus holti,NA,"Tåning, 1918",Actinopteri,Myctophiformes,Myctophidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diaphus metopoclampus,Diaphus metopoclampus,NA,"(Cocco, 1829)",Actinopteri,Myctophiformes,Myctophidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diaphus rafinesquii,Diaphus rafinesquii,NA,"(Cocco, 1838)",Actinopteri,Myctophiformes,Myctophidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dicentrarchus labrax,Dicentrarchus labrax,Dicentrarchus labrax,"(Linnaeus, 1758)",Actinopteri,Perciformes,Moronidae,1,1,0,1,1,0,NA,NA,NA,1,0,NA,NA,NA,VMob,Day,Sol,Low,IM,0,0
Dicentrarchus punctatus,Dicentrarchus punctatus,Dicentrarchus punctatus,"(Bloch, 1792)",Actinopteri,Perciformes,Moronidae,1,1,0,1,1,0,NA,NA,NA,1,0,NA,NA,NA,VMob,Day,Sol,Low,FC,0,0
Dicologlossa cuneata,Dicologlossa cuneata,NA,"(Moreau, 1881)",Actinopteri,Carangiformes,Soleidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dicologlossa hexophthalma,Microchirus hexophthalmus,NA,"(Bennet, 1831)",Actinopteri,Carangiformes,Soleidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Didogobius bentuvii,Didogobius bentuvii,NA,"Miller, 1966",Actinopteri,Gobiiformes,Gobiidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Didogobius schlieweni,Didogobius schlieweni,NA,"Miller, 1993",Actinopteri,Gobiiformes,Gobiidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,OM,0,0
Didogobius splechtnai,Didogobius splechtnai,NA,"Ahnelt & Patzner, 1995",Actinopteri,Gobiiformes,Gobiidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,OM,0,0
Dinematichthys iluocoeteoides,Dinematichthys iluocoeteoides,Dinematichthys iluocoeteoides,Bleeker 1855,Actinopteri,Ophidiiformes,Bythitidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,IM,0,0
Diodon holocanthus,Diodon holocanthus,Diodon holocanthus,Linnaeus 1758,Actinopteri,Tetraodontiformes,Diodontidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Both,Sol,Bottom,IM,0,0
Diodon hystrix,Diodon hystrix,Diodon hystrix,"Linnaeus, 1758",Actinopteri,Tetraodontiformes,Diodontidae,1,1,0,0,1,0,NA,NA,NA,0,1,introducued/invaded,1963,NA,Mob,Both,Sol,Bottom,IM,0,1
Diodon liturosus,Diodon liturosus,NA,Shaw 1804,Actinopteri,Tetraodontiformes,Diodontidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Both,Sol,Bottom,IM,0,0
Diplecogaster bimaculata,Diplecogaster bimaculata,NA,"(Bonnaterre, 1788)",Actinopteri,Gobiesociformes,Gobiesocidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Diplecogaster umutturali,Diplecogaster umutturali,NA,"Bileceno?lu, Yoke? Kova?i?, 2017",Actinopteri,Gobiesociformes,Gobiesocidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diploconger polystigmatus,Diploconger polystigmatus,NA,Kotthaus 1968,Actinopteri,Anguilliformes,Congridae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diplodus annularis,Diplodus annularis,Diplodus annularis,"(Linnaeus, 1758)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Diplodus bellottii,Diplodus bellottii,NA,"(Steindachner, 1882)",Actinopteri,Perciformes,Sparidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Diplodus cervinus,Diplodus cervinus,Diplodus cervinus,"(Lowe, 1838)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Diplodus levantinus,Diplodus levantinus,NA,"Fricke, Golani & Appelbaum-Golani 2016",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diplodus noct,Diplodus noct,Diplodus noct,Valenciennes 1830,Actinopteri,Eupercaria/misc,Sparidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Diplodus puntazzo,Diplodus puntazzo,Diplodus puntazzo,"(Walbaum, 1792)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,OM,0,0
Diplodus sargus,Diplodus sargus,Diplodus sargus,"(Linnaeus, 1758)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Diplodus vulgaris,Diplodus vulgaris,Diplodus vulgaris,"(Geoffroy Saint-Hilaire, 1817)",Actinopteri,Perciformes,Sparidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,IM,0,0
Diplogrammus gruveli,Diplogrammus gruveli,NA,Smith 1963,Actinopteri,Callionymiformes,Callionymidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diplogrammus infulatus,Diplogrammus infulatus,NA,Smith 1963,Actinopteri,Callionymiformes,Callionymidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diplogrammus paucispinis,Diplogrammus paucispinis,NA,"Fricke, Bogorodsky & Mal 2014",Actinopteri,Callionymiformes,Callionymidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Diplogrammus randalli,Diplogrammus randalli,Diplogrammus randalli,"Fricke, 1983",Actinopteri,Perciformes,Callionymidae,1,1,1,0,1,0,NA,NA,NA,0,1,introducued/invaded,2016,NA,NA,NA,NA,NA,NA,0,0
Diploprion drachi,Diploprion drachi,NA,Roux-Estčve in Roux-Estčve & Fourmanoir 1955,Actinopteri,Perciformes/Serranoidei,Serranidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Low,PK,0,0
Dipterygonotus balteatus,Dipterygonotus balteatus,NA,"(Valenciennes, 1830)",Actinopteri,Perciformes,Caesionidae,1,1,0,0,0,0,NA,NA,NA,0,1,introducued/invaded,2017,NA,VMob,Day,LargeG,High,PK,0,0
Dipturus batis,Dipturus batis,NA,"(Linnaeus, 1758)",Elasmobranchii,Rajiformes,Rajidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dipturus intermedius,Dipturus intermedius,NA,"(Parnell, 1837)",Elasmobranchii,Rajiformes,Rajidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dipturus nidarosiensis,Dipturus nidarosiensis,NA,"(Storm, 1881)",Elasmobranchii,Rajiformes,Rajidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dipturus oxyrinchus,Dipturus oxyrinchus,NA,"(Linnaeus, 1758)",Elasmobranchii,Rajiformes,Rajidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,Sol,Bottom,IM,0,0
Discordipinna griessingeri,Discordipinna griessingeri,NA,Hoese & Fourmanoir 1978,Actinopteri,Gobiiformes,Gobiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Doryrhamphus abbreviatus,Doryrhamphus abbreviatus,NA,Dawson 1981,Actinopteri,Syngnathiformes,Syngnathidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Drepane longimana,Drepane longimana,NA,Bloch & Schneider 1801,Actinopteri,Acanthuriformes,Drepaneidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Day,MedG,Low,IM,0,0
Dunckerocampus boylei,Dunckerocampus boylei,Dunckerocampus boylei,Kuiter 1998,Actinopteri,Syngnathiformes,Syngnathidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Pair,Bottom,IM,0,0
Dunckerocampus multiannulatus,Dunckerocampus multiannulatus,Dunckerocampus multiannulatus,Regan 1903,Actinopteri,Syngnathiformes,Syngnathidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Pair,Bottom,IM,0,0
Dussumieria elopsoides,Dussumieria elopsoides,NA,"Bleeker, 1849",Actinopteri,Clupeiformes,Dussumieriidae,1,1,0,1,0,1,1949,Common,"Cyprus, Egypt, Lebanon,Turkey",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dysomma alticorpus,Dysomma alticorpus,NA,"Fricke, Golani, Appelbaum-Golani & Zajonz 2018",Actinopteri,Anguilliformes,Synaphobrachidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dysomma brevirostre,Dysomma brevirostre,NA,"(Facciolą, 1887)",Actinopteri,Anguilliformes,Synaphobranchidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dysomma fuscoventralis,Dysomma fuscoventralis,NA,Karrer & Klausewitz 1982,Actinopteri,Anguilliformes,Synaphobrachidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Echelus myrus,Echelus myrus,NA,"(Linnaeus, 1758)",Actinopteri,Anguilliformes,Ophichthidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Echeneis naucrates,Echeneis naucrates,Echeneis naucrates,"Linnaeus, 1758",Actinopteri,Carangiformes,Echeneidae,1,1,0,1,1,0,NA,NA,NA,0,1,known_distribution,,NA,VMob,Both,Sol,High,IM,0,0
Echidna nebulosa,Echidna nebulosa,Echidna nebulosa,Ahl 1789,Actinopteri,Anguilliformes,Muraenidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,IM,0,0
Echidna polyzona,Echidna polyzona,NA,Richardson 1845,Actinopteri,Anguilliformes,Muraenidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,IM,0,0
Echiichthys vipera,Echiichthys vipera,NA,"(Cuvier, 1829)",Actinopteri,Perciformes,Trachinidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Echinorhinus brucus,Echinorhinus brucus,NA,"(Bonnaterre, 1788)",Elasmobranchii,Echinorhiniformes,Echinorhinidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Echiodon dentatus,Echiodon dentatus,NA,"(Cuvier, 1829)",Actinopteri,Ophidiiformes,Carapidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ecsenius aroni,Ecsenius aroni,Ecsenius aroni,Springer 1971,Actinopteri,Blenniiformes,Blenniidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,HD,0,0
Ecsenius dentex,Ecsenius dentex,Ecsenius nalolo,Springer 1988,Actinopteri,Blenniiformes,Blenniidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,HD,0,0
Ecsenius frontalis,Ecsenius frontalis,Ecsenius frontalis,Valenciennes 1836,Actinopteri,Blenniiformes,Blenniidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,HD,0,0
Ecsenius gravieri,Ecsenius gravieri,Ecsenius gravieri,Pellegrin 1906,Actinopteri,Blenniiformes,Blenniidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,HD,0,0
Ecsenius midas,Ecsenius midas,Ecsenius midas,Starck 1969,Actinopteri,Blenniiformes,Blenniidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,SmallG,Low,OM,0,0
Ecsenius nalolo,Ecsenius nalolo,NA,Smith 1959,Actinopteri,Blenniiformes,Blenniidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Elagatis bipinnulata,Elagatis bipinnulata,NA,Quoy & Gaimard 1825,Actinopteri,Carangiformes,Carangidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Both,MedG,High,FC,0,0
Elates ransonnettii,Elates ransonnettii,NA,"(Steindachner, 1876)",Actinopteri,Perciformes,Platycephalidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Electrona risso,Electrona risso,NA,"(Cocco, 1829)",Actinopteri,Myctophiformes,Myctophidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ellochelon vaigiensis,Ellochelon vaigiensis,NA,Quoy & Gaimard 1825,Actinopteri,Mugiliformes,Mugilidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Both,MedG,Low,HD,0,0
Elops machnata,Elops machnata,NA,Forsskål in Niebuhr 1775,Actinopteri,Elopiformes,Elopidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Emmelichthys marisrubri,Emmelichthys marisrubri,NA,"Fricke, Golani & Appelbaum-Golani 2014",Actinopteri,Eupercaria/misc,Emmelichthyidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Encheliophis gracilis,Encheliophis gracilis,NA,Bleeker 1856,Actinopteri,Ophidiiformes,Carapidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,OM,0,0
Encheliophis homei,Encheliophis homei,NA,Richardson 1846,Actinopteri,Ophidiiformes,Carapidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,OM,0,0
Encheliophis vermicularis,Encheliophis vermicularis,NA,Müller 1842,Actinopteri,Ophidiiformes,Carapidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,OM,0,0
Enchelycore anatina,Enchelycore anatina,NA,"(Lowe, 1838)",Actinopteri,Anguilliformes,Muraenidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Both,Sol,Bottom,IM,0,0
Enchelycore bayeri,Enchelycore bayeri,NA,Schultz 1953,Actinopteri,Anguilliformes,Muraenidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,FC,0,0
Enchelycore schismatorhynchus,Enchelycore schismatorhynchus,NA,Bleeker 1853,Actinopteri,Anguilliformes,Muraenidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Night,Sol,Bottom,FC,0,0
Enchelyurus kraussii,Enchelyurus kraussii,NA,Klunzinger 1871,Actinopteri,Blenniiformes,Blenniidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Enchelyurus petersi,Enchelyurus petersi,NA,Kossmann & Räuber 1877,Actinopteri,Blenniiformes,Blenniidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Encrasicholina gloria,Encrasicholina gloria,NA,"Hata & Motomura, 2016",Actinopteri,Clupeiformes,Engraulidae,1,1,0,1,0,1,2009,Rare,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Encrasicholina heteroloba,Encrasicholina heteroloba,NA,Rüppell 1837,Actinopteri,Clupeiformes,Engraulidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Both,LargeG,High,PK,0,0
Encrasicholina punctifer,Encrasicholina punctifer,NA,"Fowler, 1938",Actinopteri,Clupeiformes,Engraulidae,0,1,0,0,0,1,2016,Common,Turkey,0,0,NA,NA,NA,VMob,Both,LargeG,High,PK,0,0
Engraulis encrasicolus,Engraulis encrasicolus,Engraulis encrasicolus,"(Linnaeus, 1758)",Actinopteri,Clupeiformes,Engraulidae,1,1,0,1,0,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Engyprosopon grandisquama,Engyprosopon grandisquama,NA,Temminck & Schlegel 1846,Actinopteri,Pleuronectiformes,Bothidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,IM,0,0
Engyprosopon hureaui,Engyprosopon hureaui,NA,Qučro & Golani 1990,Actinopteri,Pleuronectiformes,Bothidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Engyprosopon latifrons,Engyprosopon latifrons,NA,Regan 1908,Actinopteri,Pleuronectiformes,Bothidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Engyprosopon macrolepis,Engyprosopon macrolepis,NA,Regan 1908,Actinopteri,Pleuronectiformes,Bothidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Enneapterygius abeli,Enneapterygius abeli,NA,Klausewitz 1960,Actinopteri,Blenniiformes,Tripterygiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Enneapterygius clarkae,Enneapterygius clarkae,NA,Holleman 1982,Actinopteri,Blenniiformes,Tripterygiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Enneapterygius destai,Enneapterygius destai,NA,Clark 1980,Actinopteri,Blenniiformes,Tripterygiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Enneapterygius obscurus,Enneapterygius obscurus,NA,Clark 1980,Actinopteri,Blenniiformes,Tripterygiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Enneapterygius pallidus,Enneapterygius pallidus,NA,Clark 1980,Actinopteri,Blenniiformes,Tripterygiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Enneapterygius pusillus,Enneapterygius pusillus,Enneapterygius pusillus,Rüppell 1838,Actinopteri,Blenniiformes,Tripterygiidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Enneapterygius qirmiz,Enneapterygius qirmiz,NA,Holleman & Bogorodsky 2012,Actinopteri,Blenniiformes,Tripterygiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Enneapterygius tutuilae,Enneapterygius altipinnis,NA,Clark 1980,Actinopteri,Blenniiformes,Tripterygiidae,1,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,PK,0,0
Enneapterygius ventermaculus,Enneapterygius ventermaculus,NA,Holleman 1982,Actinopteri,Blenniiformes,Tripterygiidae,1,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,OM,0,0
Entelurus aequoreus,Entelurus aequoreus,NA,"(Linnaeus, 1758)",Actinopteri,Syngnathiformes,Syngnathidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,IM,0,0
Entomacrodus solus,Entomacrodus solus,NA,Williams & Bogorodsky 2010,Actinopteri,Blenniiformes,Blenniidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,HD,0,0
Ephippion guttifer,Ephippion guttifer,NA,"(Bennett, 1831)",Actinopteri,Tetraodontiformes,Tetraodontidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Low,IM,0,0
Epibulus insidiator,Epibulus insidiator,Epibulus insidiator,Pallas 1770,Actinopteri,Eupercaria/misc,Labridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,FC,0,0
Epigonus constanciae,Epigonus constanciae,NA,"(Giglioli, 1880)",Actinopteri,Acropomatiformes,Epigonidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Epigonus denticulatus,Epigonus denticulatus,NA,"Dieuzeide, 1950",Actinopteri,Acropomatiformes,Epigonidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Epigonus marisrubri,Epigonus marisrubri,NA,"Krupp, Zajonz & Khalaf 2009",Actinopteri,Acropomatiformes,Epigonidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Epigonus telescopus,Epigonus telescopus,NA,"(Risso, 1810)",Actinopteri,Acropomatiformes,Epigonidae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Epinephelus aeneus,Epinephelus aeneus,Epinephelus aeneus,"(Geoffroy Saint-Hilaire, 1817)",Actinopteri,Perciformes,Serranidae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Bottom,IM,0,0
